row.number,subject,trial,color,FID,AD
1330,8,82,1,55,69
1331,8,83,3,27,15
1332,8,84,2,51,33
1333,8,85,2,45,39
1334,8,86,3,22,15
1335,8,87,1,72,63
1336,8,88,2,51,39
1337,8,89,4,24,15
1338,8,90,4,68,57
1339,8,91,4,64,57
1340,8,92,4,23,22
1341,8,93,2,53,39
1342,8,94,2,53,39
1343,8,95,1,69,63
1344,8,96,3,37,22
1345,9,49,4,21,35
1346,9,50,4,29,65
1347,9,51,4,17,7
1348,9,52,4,50,42
1349,9,53,1,78,69
1350,9,54,3,47,14
1351,9,55,2,25,46
1352,9,56,1,51,65
1353,9,57,2,46,41
1354,9,58,3,46,28
1355,9,59,1,51,65
1356,9,60,3,56,14
1357,9,61,3,66,20
1358,9,62,1,42,71
1359,9,63,2,50,41
1360,9,64,3,61,20
1361,9,65,4,48,69
1362,9,66,4,73,44
1363,9,67,4,72,28
1364,9,68,4,44,33
1365,9,69,1,79,63
1366,9,70,3,65,22
1367,9,71,2,46,39
1368,9,72,1,79,57
1369,9,73,3,55,15
1370,9,74,1,69,63
1371,9,75,2,48,33
1372,9,76,1,72,52
1373,9,77,2,50,42
1374,9,78,3,78,9
1375,9,79,2,45,30
1376,9,80,3,51,9
1377,9,81,1,72,52
1378,9,82,1,79,69
1379,9,83,3,49,15
1380,9,84,2,46,33
1381,9,85,2,46,39
1382,9,86,3,44,15
1383,9,87,1,49,63
1384,9,88,2,45,39
1385,9,89,4,36,15
1386,9,90,4,76,57
1387,9,91,4,69,57
1388,9,92,4,53,22
1389,9,93,2,48,39
1390,9,94,2,73,39
1391,9,95,1,57,63
1392,9,96,3,46,22
1393,10,49,4,48,35
1394,10,50,4,51,65
1395,10,51,4,51,7
1396,10,52,4,43,42
1397,10,53,1,55,69
1398,10,54,3,60,14
1399,10,55,2,17,46
1400,10,56,1,51,65
1401,10,57,2,52,41
1402,10,58,3,53,28
1403,10,59,1,44,65
1404,10,60,3,53,14
1405,10,61,3,58,20
